latitude,longitude,acq_date,bright_t31,frp,daynight
19.41571,-155.28629,01-01-2026,305.75,4.53,D
19.41054,-155.28523,01-01-2026,316.21,16.64,D
41.64201,-87.4091,01-01-2026,270.75,2.48,N
41.68174,-87.42654,01-01-2026,267.12,3.82,N
41.11974,-85.35167,01-01-2026,266.36,4.96,N
41.18149,-87.86061,01-01-2026,266.73,2.75,N
40.92596,-87.34405,01-01-2026,265.53,0.52,N
41.4676,-83.36746,01-01-2026,263.82,2.74,N
41.68109,-87.42102,01-01-2026,270.15,3.82,N
41.67881,-87.43286,01-01-2026,269.53,3.04,N
41.6752,-87.43365,01-01-2026,269.26,3.04,N
41.67844,-87.43516,01-01-2026,267.52,2.44,N
41.68534,-87.42579,01-01-2026,270.69,3.82,N
41.67776,-87.42961,01-01-2026,266.89,2.44,N
41.67484,-87.43594,01-01-2026,270.63,2,N
41.67056,-87.43118,01-01-2026,265.68,2,N
41.67104,-87.46512,01-01-2026,266.4,1.51,N
41.67035,-87.45957,01-01-2026,266.3,0.9,N
37.68831,-92.39324,01-01-2026,272.74,1.28,N
37.21706,-88.8802,01-01-2026,273.39,0.83,N
35.40607,-78.78999,01-01-2026,272.35,1.46,N
37.57891,-93.85814,01-01-2026,272.58,0.68,N
37.60358,-94.57766,01-01-2026,272.29,1.51,N
35.50256,-80.32911,01-01-2026,269.44,1.07,N
36.26023,-85.35403,01-01-2026,269.2,1.05,N
35.97865,-83.95572,01-01-2026,274.37,2.02,N
35.97938,-83.96001,01-01-2026,271.17,2.02,N
37.03706,-93.15752,01-01-2026,269.13,0.6,N
36.55796,-88.77248,01-01-2026,273.54,8.08,N
35.45377,-82.25156,01-01-2026,275.29,2.65,N
35.45469,-82.25648,01-01-2026,272.74,2.65,N
35.45341,-82.25388,01-01-2026,276.31,6.61,N
36.38337,-88.56482,01-01-2026,275.34,1.23,N
36.74381,-91.8284,01-01-2026,274.74,1.06,N
34.77145,-79.19591,01-01-2026,272.16,0.8,N
36.06541,-87.12743,01-01-2026,273.13,0.79,N
34.96939,-80.87992,01-01-2026,271.94,2.07,N
34.97197,-80.88059,01-01-2026,273.17,1.47,N
41.36644,-84.92195,01-01-2026,266.51,6.47,N
36.48284,-91.15648,01-01-2026,270.88,0.56,N
35.81113,-86.76404,01-01-2026,274.22,0.45,N
34.99203,-82.46088,01-01-2026,271.39,1.26,N
34.98857,-82.4618,01-01-2026,271.11,1.26,N
35.01016,-83.18487,01-01-2026,276.48,11.33,N
34.37484,-79.88594,01-01-2026,273.7,1.52,N
35.00677,-83.18568,01-01-2026,272.33,2.31,N
35.94641,-89.71848,01-01-2026,274.86,0.98,N
35.94578,-89.71298,01-01-2026,276.05,0.72,N
35.93832,-89.71434,01-01-2026,275.25,2.5,N
35.9346,-89.71504,01-01-2026,274.82,4,N
35.94124,-89.71507,01-01-2026,277.9,2.3,N
35.93752,-89.71575,01-01-2026,275.39,2.3,N
35.9338,-89.71642,01-01-2026,272.59,0.73,N
35.89191,-89.78,01-01-2026,275.57,3.09,N
35.49212,-86.87686,01-01-2026,273.1,1.37,N
34.84656,-83.1144,01-01-2026,272.95,0.91,N
35.48933,-87.22345,01-01-2026,272.93,0.71,N
34.70202,-82.58895,01-01-2026,272,0.66,N
35.95166,-91.29935,01-01-2026,271.69,1.97,N
35.35658,-87.34599,01-01-2026,273.45,1.05,N
41.56576,-84.04554,01-01-2026,264.3,6.95,N
35.16174,-86.17697,01-01-2026,273.59,2.09,N
35.15843,-86.17771,01-01-2026,272.31,2.68,N
35.64952,-89.93386,01-01-2026,277.21,0.77,N
36.19263,-95.81414,01-01-2026,269.15,0.57,N
35.61357,-89.95244,01-01-2026,271.54,1.38,N
35.60916,-89.94757,01-01-2026,274.85,1.3,N
35.63429,-91.29333,01-01-2026,275.97,1.02,N
35.63026,-91.29397,01-01-2026,274.61,0.96,N
35.90319,-95.03833,01-01-2026,274.16,1.41,N
34.34549,-82.77544,01-01-2026,273.65,0.46,N
34.82968,-85.77796,01-01-2026,272.01,2.38,N
35.90373,-95.03711,01-01-2026,274.16,0.5,N
35.68714,-92.60448,01-01-2026,275.9,2.42,N
33.96426,-81.05397,01-01-2026,274.68,0.91,N
35.57317,-92.14647,01-01-2026,273.07,1.3,N
35.72652,-94.69343,01-01-2026,279.82,1.23,N
34.73447,-86.28774,01-01-2026,273.11,2.33,N
34.87912,-87.4946,01-01-2026,271.7,0.64,N
35.62025,-94.87534,01-01-2026,277.59,1.47,N
35.47867,-93.58768,01-01-2026,272.52,0.7,N
35.47841,-93.58287,01-01-2026,272.21,1.94,N
34.34181,-84.72961,01-01-2026,271.72,0.64,N
34.96214,-89.15021,01-01-2026,273.64,1.26,N
34.30433,-84.85593,01-01-2026,269.76,1.11,N
35.41135,-93.7723,01-01-2026,273.87,0.68,N
34.64593,-87.08373,01-01-2026,273.8,0.51,N
35.0448,-90.16704,01-01-2026,274.21,1.29,N
34.63923,-87.08515,01-01-2026,278.69,4.13,N
34.63985,-87.08945,01-01-2026,276.77,1.69,N
34.80381,-88.3221,01-01-2026,273.39,0.64,N
34.5479,-86.53402,01-01-2026,276.15,0.53,N
33.90961,-83.33923,01-01-2026,273.34,0.86,N
34.43373,-87.55157,01-01-2026,276.42,1.14,N
